Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dsf,dsf,sdfadsfadsf,GSF Store v3,"","",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,draft
new-collection-sport-2021,New collection sport 2021,New collection sport 2021,2-Day Designs,Accent Chairs,"",true,Title,Default Title,,,,,MS7676,0.0,shopify,deny,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0480/4175/4779/products/barmooda.jpg?v=1613736549,1,,false,,,,,,,,,,,,,,,,,lb,,,active
test-prd-01,Test prd 01,<p>Test prd 01</p>,Amzon Integration,"","",true,Title,Default Title,,,,,prd01,0.0,shopify,deny,manual,100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0480/4175/4779/products/amazon1-1.png?v=1609392883,1,,false,,,,,,,,,,,,,,,,,kg,,9.00,active
test-prod-02,Test prod 02,"<p>Test prod 02</p>
<p>Test prod 02</p>
<p>Test prod 02</p>
<p>Test prod 02</p>",Amzon Integration,"","",true,Size,S,,,,,1f6sadf11,0.0,shopify,deny,manual,50.00,5.00,true,true,'111,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/26th-january-Banner2.jpg?v=1609392875,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/26th-january-Banner2.jpg?v=1609392875,kg,,9.00,active
test-prod-02,,,,,,,,L,,,,,1f6sadf12,0.0,shopify,deny,manual,10.00,5.00,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/26th-january-Banner2.jpg?v=1609392875,kg,,9.00,
test-prd-03,Test prd 03,"<p>Test prd 03</p>
<p>Test prd 03</p>
<p> Test prd 03</p>
<p>Test prd 03</p>
<p>Test prd 03</p>",Amzon Integration,"","",true,Title,Default Title,,,,,ds1f56sad16asdf1,0.0,shopify,deny,manual,60.00,6.00,true,true,'222,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/26th-january-Banner2_f2c604ed-e383-4c19-9d7e-923ca478ec9b.jpg?v=1609392873,1,,false,,,,,,,,,,,,,,,,,kg,,9.00,active
kalalou-rattan-pendant-cylinder,Kalalou Rattan Pendant - Cylinder,"<p>Rattan Pendant - Cylinder</p><ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 18"" L x 18"" W x 15.5"" H</li>
<li>SKU: NVAS1005</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Pendant Lamps,"1 Light, Cylinder, DISCOUNT, Hanging, kal-light-instock, Kalalou, Kalalou-Pendant Lamps, KALALOU10_DISCOUNT_10, Lighting_Sale, Rattan, Rattan Light",true,Title,Default Title,,,,,NVAS1005,0.0,shopify,continue,manual,237.95,,true,true,'841628165906,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NVAS1005-1.jpg?v=1609392869,1,,false,,,,,,,,,,,,,,,,,lb,,7.00,active
kalalou-glass-teardrop-pendant-light,Kalalou Glass Teardrop Pendant Light,"<p>Glass Teardrop Pendant Light</p><ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 14"" L x 14"" W x 19"" H</li>
<li>SKU: NVAS1000</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Pendant Lamps,"1 light, Decorative & Hangings, Glass, Hanging, kal-light-instock, Kalalou, Kalalou-Pendant Lamps",true,Title,Default Title,,,,,NVAS1000,0.0,shopify,continue,manual,237.95,,true,true,'841628165890,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NVAS1000-1.jpg?v=1609392867,1,,false,,,,,,,,,,,,,,,,,lb,,6.00,active
kalalou-palm-rib-frosted-white,Kalalou Palm Rib - Frosted White,"<p>Palm Rib - Frosted White</p><ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 40"" L x 42"" H</li>
<li>SKU: NTRP1004</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Wall Decor,"Aged White, Antique  White, DISCOUNT, Kalalou, Kalalou-Wall Decor, KALALOU10_DISCOUNT_10, Wall Mountable, Wall Mounted",true,Title,Default Title,,,,,NTRP1004,0.0,shopify,continue,manual,119.95,,true,true,'841628165685,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NTRP1004-1.jpg?v=1609392866,1,,false,,,,,,,,,,,,,,,,,lb,,,active
kalalou-set-of-two-recycled-metal-pumpkins-with-crows,Kalalou Set Of Two Recycled Metal Pumpkins With Crows,"<p>Set of Two Recycled Metal Pumpkins With Crows</p>
<ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 10"" L x 4"" W x 17"" H</li>
<li>SKU: NTM1266</li>
<li>Material: Metal</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Holiday,"Accent Decor, Aged Metal, Antique  Metal, Home Decor, Kalalou, Kalalou-Holiday, Recycled, set of 2",true,Title,Default Title,,,,,NTM1266,0.0,shopify,continue,manual,117.95,,true,true,'841628165630,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NTM1266-1.jpg?v=1609392864,1,,false,,,,,,,,,,,,,,,,,lb,,8.00,active
